OBJECTID	AU_NO	AU_NAME	Shape_Leng	Shape_Area	AREA	TOTAL	P_UNDER_20	P_20_TO_39	P_40_TO_49	P_60_TO_79	P_OVER_80	T019	T2039	T4059	T6079	T80P	TB_CASES	Gi
133	520000.00000000000	Te Papapa	6890.60412153000	2524632.50000000000	Te Papapa	3123	0.26416906800	0.41594620600	0.22958693600	0.08069164300	0.00960614800	825	1299	717	252	30	1	-0.111316518
139	518600.00000000000	Royal Oak	6007.76611352000	1558245.00000000000	Royal Oak	5415	0.24376731300	0.29418282500	0.28808864300	0.12797783900	0.04598338000	1320	1593	1560	693	249	5	0.448710056
140	515700.00000000000	Epsom North	5754.38294118000	1374228.00000000000	Epsom North	3822	0.30376766100	0.26059654600	0.29513343800	0.11538461500	0.02511773900	1161	996	1128	441	96	3	-1.294670082
147	519002.00000000000	Waikowhai East	5631.53363905000	1408978.50000000000	Waikowhai East	4464	0.32392473100	0.29838709700	0.26008064500	0.10080645200	0.01680107500	1446	1332	1161	450	75	7	2.149996467
148	520300.00000000000	Mt Wellington North	10672.12810780000	3685799.50000000000	Mt Wellington North	6822	0.22075637600	0.42040457300	0.22867194400	0.10729991200	0.02286719400	1506	2868	1560	732	156	20	0.649355547
149	519001.00000000000	Waikowhai West	6383.27603305000	1426145.00000000000	Waikowhai West	3372	0.22508896800	0.26156583600	0.28024911000	0.15925266900	0.07384341600	759	882	945	537	249	6	2.132366321
150	516102.00000000000	Waitaramoa	6358.95965803000	1561773.00000000000	Waitaramoa	3819	0.27808326800	0.21445404600	0.33150039300	0.13982718000	0.03613511400	1062	819	1266	534	138	0	-2.055407594
152	516900.00000000000	Glen Innes North	8996.24628489000	2479770.00000000000	Glen Innes North	5916	0.28296146000	0.23377281900	0.25709939100	0.14452332700	0.08164300200	1674	1383	1521	855	483	1	-1.828808674
153	516101.00000000000	Remuera West	4055.84471986000	911479.00000000000	Remuera West	3204	0.22565543100	0.26966292100	0.32303370800	0.16104868900	0.02059925100	723	864	1035	516	66	0	-2.03379457
156	515410.00000000000	Grey Lynn West	3842.11080044000	831663.00000000000	Grey Lynn West	3279	0.21408966100	0.49130832600	0.22964318400	0.05489478500	0.01006404400	702	1611	753	180	33	2	-0.650934379
161	520602.00000000000	Panmure Basin	5910.39189088000	1591296.50000000000	Panmure Basin	2706	0.16297117500	0.35144124200	0.29157427900	0.15299334800	0.04101995600	441	951	789	414	111	3	1.836178713
162	520601.00000000000	Tamaki	5177.18502493000	1510041.00000000000	Tamaki	4365	0.36838488000	0.27560137500	0.22061855700	0.10652921000	0.02886597900	1608	1203	963	465	126	4	1.854098032
163	519300.00000000000	One Tree Hill Central	7284.88169839000	3058679.00000000000	One Tree Hill Central	2706	0.25831485600	0.23614190700	0.31374722800	0.13192904700	0.05986696200	699	639	849	357	162	0	-0.016096653
165	516400.00000000000	Orakei North	11413.44797050000	3033617.00000000000	Orakei North	5328	0.23198198200	0.31531531500	0.27364864900	0.13907657700	0.03997747700	1236	1680	1458	741	213	2	-1.420522534
167	521803.00000000000	Otahuhu East	8092.91998661000	782115.50000000000	Otahuhu East	1899	0.36334913100	0.30963665100	0.22906793000	0.08214849900	0.01579778800	690	588	435	156	30	2	1.919343035
